TemplateType=Custom	Version=2016.0902	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.					Images					Variation				Basic						Discovery											Ungrouped																							Dimensions																				Compliance							Fulfillment							Offer																		B2B													
Item Type Keyword	Seller SKU	Product ID	Product ID Type	Product Name	Standard Price	Quantity	Main Image URL	Swatch Image URL	Other Image URL	Other Image URL	Other Image URL	Parentage	Parent SKU	Relationship Type	Variation Theme	Product Description	Manufacturer	Manufacturer Part Number	Product Type	Brand Name	Update Delete	Key Product Features	Key Product Features	Key Product Features	Key Product Features	Key Product Features	Intended Use	Target Audience	Target Audience	Target Audience	Subject Matter	Search Terms	Other Attributes	Color	Color Map	Material Type	Size Map	Size	Sport Type	Flex	Loft	Grip Size	Grip Type	Suspension Type	Tension Supported	Lens Color	Hand Orientation	Shaft Length	Shaft Length Unit Of Measure	Shaft Material	Shape	Display Maximum Weight Recommendation	Display Maximum Weight Recommendation Unit Of Measure	Style Name	Team Name	Shipping Weight	Website Shipping Weight Unit Of Measure	Width	Item Display Width Unit Of Measure	Item Display Length	Item Display Length Unit Of Measure	Item Display Weight	Item Display Weight Unit Of Measure	Volume	Item Volume Unit Of Measure	Display Height	Item Display Height Unit Of Measure	Item Height	Item Height Unit Of Measure	Item Length	Item Length Unit Of Measure	Item Width	Item Width Unit Of Measure	Item Weight	Item Weight Unit Of Measure	Consumer Notice	Cpsia Warning	CPSIA Warning Description	Country of Publication	Fabric Type	Import Designation	Legal Disclaimer	Fulfillment Center ID	Package Height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Item Condition	Offer Condition Note	Manufacturer's Suggested Retail Price	Launch Date	Release Date	Restock Date	Fulfillment Latency	Product Tax Code	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Package Quantity	Number of Items	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer	Minimum Advertised Price	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	National Stock Number	United Nations Standard Products and Services Code
item_type	item_sku	external_product_id	external_product_id_type	item_name	standard_price	quantity	main_image_url	swatch_image_url	other_image_url1	other_image_url2	other_image_url3	parent_child	parent_sku	relationship_type	variation_theme	product_description	manufacturer	part_number	feed_product_type	brand_name	update_delete	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	specific_uses_keywords	target_audience_keywords1	target_audience_keywords2	target_audience_keywords3	thesaurus_subject_keywords	generic_keywords	thesaurus_attribute_keywords	color_name	color_map	material_type	size_map	size_name	sport_type	golf_club_flex	golf_club_loft	grip_size	grip_type	suspension_type	tension_level	lens_color	hand_orientation	shaft_length	shaft_length_unit_of_measure	shaft_material	item_shape	display_maximum_weight_recommendation	display_maximum_weight_recommendation_unit_of_measure	style_name	team_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_display_width	item_display_width_unit_of_measure	item_display_length	item_display_length_unit_of_measure	item_display_weight	item_display_weight_unit_of_measure	item_volume	item_volume_unit_of_measure	item_display_height	item_display_height_unit_of_measure	item_height	item_height_unit_of_measure	item_length	item_length_unit_of_measure	item_width	item_width_unit_of_measure	item_weight	item_weight_unit_of_measure	prop_65	cpsia_cautionary_statement	cpsia_cautionary_description	country_of_origin	fabric_type	import_designation	legal_disclaimer_description	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	condition_type	condition_note	list_price	product_site_launch_date	merchant_release_date	restock_date	fulfillment_latency	product_tax_code	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	number_of_items	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	map_price	business_price	quantity_price_type	quantity_lower_bound1	quantity_price1	quantity_lower_bound2	quantity_price2	quantity_lower_bound3	quantity_price3	quantity_lower_bound4	quantity_price4	quantity_lower_bound5	quantity_price5	national_stock_number	unspsc_code
sports-related-display-cases	tr-14986			BibFOLIO&#174; Race Bib Album - Swim Bike Run Repeat Guys	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-14986-BLACK.jpg					Parent		Variation	Color	"Archive, protect, and show off your triathlon race bibs in a BibFOLIO&#174; Race Bib Album, to celebrate your - or a friend's - accomplishments as a triathlete. Personalize the cover with a name for a special touch and choose the color that matches the room in which it will be displayed or best suits the recipient's personality. Frequently, they are placed on desks, coffee tables, or shelves - both in homes and offices.&lt;br&gt;&lt;br&gt;Made to our, each album is constructed from hand finished wood and uses twist cable rings for ease of use.  They easily unscrew and your bibs, or if you use them, protector sleeves, slide on via the holes at the top of each.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Our high quality vinyl sleeves are sold separately in packages of 12, and are designed to fit your album. They add a layer of protection to prevent accidental damage, and also allow you to add photos or other small mementos, along with race details and dates on the writeable surface on top.  The combination creates a sturdy testament to the life or a triathlete."	Gone For a Run	tr-14986	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-14985			BibFOLIO&#174; Race Bib Album - Swim Bike Run Repeat Girls	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-14985-BLACK.jpg					Parent		Variation	Color	"Celebrate your own, or a friend's triathlete life with a personalized triathlon BibFOLIO&#174; Race Bib Album, the best way to preserve and display race bibs. Add a name for a special touch on this bold and bright runner's album that will look great in any room of the house. They are commonly placed on desks, tables, or bookshelves and are excellent conversation starters.&lt;br&gt;&lt;br&gt; Made to order using hand-finished wood and twist cable rings, add bibs by unscrewing the rings and sliding them through the holes at the top of the race bibs or, if you prefer, protector sleeves. Close them and you have a document of your triathlons that will grow as you earn more bibs.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;b&gt;&lt;br&gt;Our vinyl sleeves are sold separately in sets of 12, and are custom designed from high-quality vinyl to specifically fit our BibFOLIO albums.  Slip your race bibs and mementos such as photos or wristbands into the sleeve, and use the space at the top to add details and dates. Your bibs will be protected from unintentional damage, and your album is an even more solid documentation of your triathlons. "	Gone For a Run	tr-14985	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-14982			BibFOLIO&#174; Race Bib Album - Dedication Gets You Through It	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-14982-BLACK.jpg					Parent		Variation	Color	"This motivational BibFOLIO&#174; Race Bib Album is the best way to archive, preserve, and display your hard-earned and irreplaceable race bibs and makes a great gift for any runner.  Add a name for a personalized album, and choose the color - either a favorite or one to match the specific look of a room or office.  Common places to place the album are coffee tables, bookshelves, desks, or on the (optional) easel.&lt;br&gt;&lt;br&gt;Made from durable wood and constructed with twist cable rings, this unique album is also easy to use. Simply unscrew the rings, and slide the holes at the top of your bibs or, if you prefer, vinyl sleeves, over them. Close the rings until you're ready to add new bibs earned in future races.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Sold separately in packs of 12, our high-quality vinyl sleeves are designed specifically to fit your album.  Place your bib - and mementos such as photos - into the sleeve, which has room to write dates and details on the top of the sleeve to enhance your memories and the functionality of this special runner's keepsake. "	Gone For a Run	tr-14982	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-18422			BibFOLIO&#174; Race Bib Album - Swim Bike Run It's A Lifestyle	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-18422-BLACK.jpg					Parent		Variation	Color	"Live the triathlete lifestyle - protect and display irreplaceable race bibs in a personalizable BibFOLIO&#174; Race Bib Album. A great gift for triathletes, this durable album is available in multiple colors to match any room in which it will be displayed and add a name to the cover for an even more unique piece of functional art. Common places to place this eye-catching album include end tables, mantles, shelves, easels (sold separately) or desks.&lt;br&gt;&lt;br&gt;Made to order from durable, hand-finished wood, each album uses twist cable rings that unscrew easily to add bibs.  Slide the rings through the holes at the top of the bibs or, if you use them, vinyl sleeves, and screw them shut again for a lasting album that you can add bibs to as you earn them.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Designed to fit the BibFOLIO album, your bibs will be secure in these high-quality vinyl sleeves, sold separately in sets of 12. Slip your race bib into a sleeve, to which you can also add small memorabilia such as photos, and even add details to the top of the sleeve in permanent marker for a special album that tells a one-of-a-kind story of a triathlete. "	Gone For a Run	tr-18422	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-18420			BibFOLIO&#174; Race Bib Album - Swim Bike Run (Stacked)	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-18420-BLACK.jpg					Parent		Variation	Color	"Show your triathlon pride with a BibFOLIO&#174; Race Bib Album, the solution for sorting, preserving, and displaying hard-earned and invaluable race bibs. Perfect for the home or office of any triathlete, the cover can be personalized with a name for a great gift to celebrate a holiday or completion of a special race.  Commonly displayed on coffee tables, bookshelves, or desks, our unique albums are great conversation starters and testaments to the hard work and dedication it takes to be a triathlete.&lt;br&gt;&lt;br&gt;The sturdy wooden covers on the album are bound by twist cable rings that easily unscrew so you can add race bibs. Just slide the holes in the vinyl protectors or the bibs over the open rings for a special album that will grow with every triathlon you complete.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Add an extra layer of protection to each individual race bib with our high-quality vinyl protector sleeves. Custom fit for our BibFOLIO albums, they help prevent wear and tear damage from browsing the album, and give you the flexibility to include photos and small mementos within the sleeves. They also have a writable space at top to record details, for the perfect way to remember every triathlon in detail."	Gone For a Run	tr-18420	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-12490			BibFOLIO&#174; Race Bib Album - Runner Mom's Heart	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-12490-BLACK.jpg					Parent		Variation	Color	"Our BibFOLIO&#174; Race Bib Album is a great gift for runner moms on Mother's Day - a place to organize, protect, and display her race bibs that shows you care and how proud you are of her running accomplishments. With various colors to choose from, and room to personalize, there's one for every personality and style - and it will look great on a coffee table, bookshelf, desk, or when displayed on an (optional) easel.&lt;br&gt;&lt;br&gt;Made to order, each album is carefully crafted from hand-finished wood and fitted with twist cable rings that are easy to use. Simply unscrew the rings and slip the holes at the top of the bibs or protector sleeves, if you use them, through the rings, and re-screw them to close the album. You can always add new bibs as you earn them using the same process.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;Our custom vinyl sleeves, sold separately in packs of 12, add an extra layer of protection for the bibs in the album, helping to prevent smudges or unintentional tears.  Slide your bib and photos or small mementos from the race into the vinyl sleeve, which has room for you to add a date and details at the top to create a one-of-a-kind album that documents mom's running life. "	Gone For a Run	tr-12490	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-13963			BibFOLIO&#174; Race Bib Album - Day Of The Run	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-13963-BLACK.jpg					Parent		Variation	Color	"OUR BibFOLIO&#174; Race Bib Album is perfect for preserving, organizing, and showcasing your hard-earned and invaluable race bibs in a durable, protective album. This design can be personalized with a name in your choice of fonts and is available in multiple colors, to match any room in the house and can be placed on bookshelf, coffee table, desk, or any place you like - at home or at the office.&lt;br&gt;&lt;br&gt;Each BibFOLIO album is crafted from hand-finished wood and uses twist cable rings that easily unscrew so you can add race bibs. Slide the rings through the holes at the top of the race bibs or, if you use them, vinyl sleeves, and close the rings when you're finished. You can do this any time you add a new race bib.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Sold separately in packages of 12, our high quality vinyl sleeves are custom fit to your race album for the right fit. Slide your race bib and any mementos such as photos into the sleeve, and add a date and details on the top in permanent marker to create a lasting reminder of races you have ran. "	Gone For a Run	tr-13963	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	cc-00088			BibFOLIO&#174; Race Bib Album - Track and Field	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/cc-00088-BLACK.jpg					Parent		Variation	Color	"Display and protect your Track &amp; Field race bibs with a BibFOLIO&#174; Race Bib Album. Add a custom printed name in your choice of font and choose your favorite color for an amazing track &amp; field keepsake that grows with each event and race  - and  athletes will cherish for years to come. The striking design can be displayed on tabletops, bookshelves, mantles, or anywhere you like.&lt;br&gt;&lt;br&gt; Our BibFOLIO race bib albums are easy to use - made from hand fitted wood, the twist cable rings can be unscrewed to add new bibs - just slip the holes at the top of the bib or, if you are using them, the vinyl protector sleeves, over the open ring.  You'll love watching your album become an ever-growing testament to your athletic achievements.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Our custom fit, high quality vinyl sleeves provide extra protection for your race bibs, preventing them from staining or tearing when you or others look through the album.  You can also add extra mementos and photos of each race for a more custom album, and there is room at top to add race dates, times, and other information in permanent marker.  They are sold separately in packages of twelve. "	Gone For a Run	cc-00088	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
sports-related-display-cases	tr-18650			BibFOLIO&#174; Race Bib Album - Track and Field Silos	45.95		http://staging-webstore-chalktalksports.demandware.net/on/demandware.static/-/Sites-ChalkTalk_SPORTS_master/default/tr-18650-BLACK.jpg					Parent		Variation	Color	"Celebrate track and field with a personalizable BibFOLIO&#174; Race Bib Album, ideal for organizing, preserving, and showcasing your track and field event bibs. Available in multiple colors, with personalization available in your choice of fonts, this is an elegant piece for track and field athletes that is an eye-catching addition to any room, placed on a table, bookshelf, or mantle.&lt;br&gt;&lt;br&gt;The twist cable rings that bind the hand-finished wood covers can easily be opened to add race bibs for an album that grows with each athlete's achievements. Just unscrew the rings and place them through the holes at top of the bibs or vinyl protector sleeves, if you choose them, and close them. Repeat the process any time to add more bibs.&lt;br&gt;&lt;br&gt;&lt;b&gt;Race Bib Vinyl Protector Sleeves - Recommended&lt;/b&gt;&lt;br&gt;Add a layer of protection to each individual bib with our high-quality vinyl sleeves. Custom fit for the album, they provide a barrier against unintentional stains, smudges, or tears.  You can also include mementos like photos with the bibs, and use permanent marker on the writeable space at top for a memory book that tells a unique athlete's story. "	Gone For a Run	tr-18650	SportingGoods	Gone For a Run		"BibFOLIO&#174; measures 9.5"" X 8"""	"Laminated 1/4"" folio board"	Fits most racing bibs	Easily add bibs by opening BibFOLIO&#174; rings (fits over 100 bibs)	Personalize with your name or message						race bibs display case																																																																																									
